generated_smiles,valid,canonical_smiles,novel_vs_training,desc_mol_weight,desc_logp,desc_tpsa,desc_hbd,desc_hba,desc_rotatable_bonds,desc_ring_count,desc_aromatic_ring_count,desc_heavy_atom_count,desc_fraction_csp3,qed,lipinski_mw_violation,lipinski_logp_violation,lipinski_hbd_violation,lipinski_hba_violation,lipinski_violations,lipinski_compliant,predicted_logS,predicted_solubility_mol_L,n_descriptors_outside_esol_range,inside_esol_descriptor_range,basic_candidate,qed_score,solubility_score,lipinski_score,multiobjective_score,pareto_front,overall_rank,max_similarity_to_previous_selected,diverse_rank
CC(NC(=O)N1CCCC1c1ccccn1)S(C)(=O)=O,True,CC(NC(=O)N1CCCC1c1ccccn1)S(C)(=O)=O,True,297.3800000000001,1.3187000000000002,79.37,1,4,3,2,1,20,0.5384615384615384,0.9122315106205956,False,False,False,False,0,True,-2.5005825333333296,0.0031580388376199,0,True,True,0.9076586936522539,0.9353725850965962,1.0,0.935826816927323,True,1,0.0,1
Cc1csc(NC(=O)C2CCN(S(C)(=O)=O)CC2)n1,True,Cc1csc(NC(=O)C2CCN(S(C)(=O)=O)CC2)n1,True,303.4090000000001,1.06162,79.37,1,5,3,2,1,19,0.6363636363636364,0.90533430834147,False,False,False,False,0,True,-2.3817442380952345,0.0041519848666352,0,True,True,0.8801747930082797,0.9554967801287948,1.0,0.9305025298988041,True,2,0.2537313432835821,2
CC1CCN(S(=O)(=O)c2cccc(NC(C)=O)c2)C1=O,True,CC(=O)Nc1cccc(S(=O)(=O)N2CCC(C)C2=O)c1,True,296.348,1.2021,83.55000000000001,1,4,3,2,1,20,0.3846153846153846,0.908179834965329,False,False,False,False,0,True,-2.499153333333327,0.0031684486034211,0,True,True,0.891099356025759,0.9356025758969642,1.0,0.9284556117755289,True,3,0.22727272727272727,3
CCNC(=O)Cn1cnc2cc(Cl)ccc2c1=O,True,CCNC(=O)Cn1cnc2cc(Cl)ccc2c1=O,True,265.7,1.1859999999999993,63.99,1,3,3,2,2,18,0.25,0.90657144460129,False,False,False,False,0,True,-2.487457999999989,0.0032549325996499,0,True,True,0.8841996320147194,0.937097516099356,1.0,0.9258739650413983,True,4,0.16216216216216217,4
CCc1cc(C(=O)NC(C)c2nnnn2C)ccc1F,True,CCc1cc(C(=O)NC(C)c2nnnn2C)ccc1F,True,277.303,1.4025999999999996,72.70000000000002,1,4,4,2,2,20,0.3846153846153846,0.9165613201116612,False,False,False,False,0,True,-2.723222999999998,0.0018913721941359,0,True,True,0.9204231830726771,0.8892594296228151,1.0,0.92543123275069,True,5,0.19718309859154928,5
O=C(CN1CCOCC1)Nc1ccccc1Br,True,O=C(CN1CCOCC1)Nc1ccccc1Br,True,299.168,1.7197999999999998,41.57,1,3,3,2,1,17,0.4166666666666667,0.9238056480893544,False,False,False,False,0,True,-2.8466339999999954,0.0014235279544495,0,True,True,0.9435372585096596,0.859360625574977,1.0,0.9253679852805887,True,6,0.19402985074626866,6
CC(C)NC(=O)c1ccc(Br)cc1S(C)(=O)=O,True,CC(C)NC(=O)c1ccc(Br)cc1S(C)(=O)=O,True,320.208,1.9908,63.24,1,3,3,1,1,17,0.3636363636363636,0.9262897626490326,False,False,False,False,0,True,-2.9527559999999995,0.0011149207544379,0,True,True,0.9502069917203312,0.8342916283348666,1.0,0.9195952161913523,True,7,0.23809523809523808,7
Cc1cccc(NC(=O)Cn2cncn2)c1Br,True,Cc1cccc(NC(=O)Cn2cncn2)c1Br,True,295.14,1.98772,59.81,1,3,3,2,2,17,0.1818181818181818,0.9416829207879944,False,False,False,False,0,True,-3.1505789999999987,0.0007070025822286,0,True,True,0.9871205151793928,0.7851885924563018,1.0,0.9190202391904323,True,8,0.3392857142857143,8
CS(=O)(=O)c1ccccc1C(=O)NCC1CCCO1,True,CS(=O)(=O)c1ccccc1C(=O)NCC1CCCO1,True,283.34900000000005,0.9989,72.47,1,4,4,2,1,19,0.4615384615384615,0.8944382102829735,False,False,False,False,0,True,-2.3169332380952308,0.004820218907291,0,True,True,0.8472861085556578,0.9640064397424103,1.0,0.9186810027598895,True,9,0.32142857142857145,9
Cn1c(C(=O)N(C)Cc2scnc2CC)ccc1O,True,CCc1ncsc1CN(C)C(=O)c1ccc(O)n1C,True,279.365,2.0218,58.36000000000001,1,4,4,2,2,19,0.3846153846153846,0.9312168380340524,False,False,False,False,0,True,-3.064727000000003,0.0008615351479354,0,True,True,0.9633164673413064,0.8077276908923643,1.0,0.9161971021159154,True,10,0.1780821917808219,10
CNS(=O)(=O)c1ccc(Cn2cccc(Cl)c2=O)cc1,True,CNS(=O)(=O)c1ccc(Cn2cccc(Cl)c2=O)cc1,True,312.7780000000001,1.4580999999999995,68.17,1,3,4,2,2,20,0.1538461538461538,0.9290171936140186,False,False,False,False,0,True,-3.057132,0.000876734304938,0,True,True,0.9571067157313707,0.8099126034958601,1.0,0.9141674333026679,True,11,0.203125,11
CC(=O)N1CCC(NC(=O)Cc2ccccc2Cl)CC1,True,CC(=O)N1CCC(NC(=O)Cc2ccccc2Cl)CC1,True,294.7820000000001,2.0096,49.41,1,2,3,2,1,20,0.4666666666666667,0.9269489822088832,False,False,False,False,0,True,-3.0442660000000004,0.0009030961690569,0,True,True,0.9517019319227231,0.812672493100276,1.0,0.912701241950322,True,12,0.23880597014925373,12
O=C(Cn1cc(Br)cn1)Nc1ccccc1F,True,O=C(Cn1cc(Br)cn1)Nc1ccccc1F,True,298.115,2.423400000000001,46.92,1,2,3,2,2,17,0.0909090909090909,0.945685308162688,False,False,False,False,0,True,-3.2920289999999963,0.0005104709121586,0,True,True,0.9974701011959521,0.7478150873965042,1.0,0.9105968261269548,True,13,0.42592592592592593,13
Cc1[nH]c(=O)n(CC(=O)N(C)c2ccccc2Cl)c1C,True,Cc1[nH]c(=O)n(CC(=O)N(C)c2ccccc2Cl)c1C,True,293.754,2.10964,58.1,1,2,3,2,2,20,0.2857142857142857,0.9420880726620872,False,False,False,False,0,True,-3.286833000000001,0.0005166149859266,0,True,True,0.9886154553817847,0.74942502299908,1.0,0.907175712971481,True,14,0.23809523809523808,14
COc1ccc(S(=O)(=O)N2CCCC(O)C2)cc1,True,COc1ccc(S(=O)(=O)N2CCCC(O)C2)cc1,True,271.338,0.8406,66.84,1,4,3,2,1,18,0.5,0.8844029706542432,False,False,False,False,0,True,-2.280209966666659,0.0052455379494919,0,True,True,0.8070377184912604,0.9697562097516099,1.0,0.9025816467341305,True,15,0.25,15
CCCOc1ccc(S(=O)(=O)N2CCC(O)CC2)cn1,True,CCCOc1ccc(S(=O)(=O)N2CCC(O)CC2)cn1,True,300.38000000000005,1.0158,79.73,1,5,5,2,1,20,0.6153846153846154,0.8778198031752477,False,False,False,False,0,True,-2.274789133333328,0.0053114227162509,0,True,True,0.7804737810487581,0.9703311867525299,1.0,0.8908291168353266,True,16,0.375,16
CC(C)n1cccc1S(=O)(=O)N1CCC(C(N)=O)c1,True,CC(C)n1cccc1S(=O)(=O)N1CCC(C(N)=O)C1,True,285.369,0.5649000000000001,85.4,1,3,4,2,1,19,0.5833333333333334,0.8770042988455442,False,False,False,False,0,True,-2.2611963333333303,0.0054802915906448,0,True,True,0.7757589696412144,0.9724011039558418,1.0,0.8894319227230911,True,17,0.2833333333333333,17
CCn1cc(C(=O)NCc2c(C)nn(C)c2)cn1,True,CCn1cc(C(=O)NCc2cn(C)nc2C)cn1,True,247.302,0.8749199999999999,64.74000000000001,1,3,4,2,2,18,0.4166666666666667,0.8717089226802014,False,False,False,False,0,True,-2.1960409523809523,0.0063673547625079,0,True,True,0.7571297148114076,0.9810257589696412,1.0,0.8840673873045077,True,18,0.2222222222222222,18
CN(C(=O)CN1CCOC(CO)C1)c1ccccc1F,True,CN(C(=O)CN1CCOC(CO)C1)c1ccccc1F,True,282.315,0.4816000000000007,53.010000000000005,1,4,4,2,1,20,0.5,0.8726385621132181,False,False,False,False,0,True,-2.256555666666663,0.0055391653989661,0,True,True,0.7611545538178472,0.9736660533578657,1.0,0.8833026678932843,True,19,0.3333333333333333,19
CNC(=O)CN(C)S(=O)(=O)c1cccc(F)c1C,True,CNC(=O)CN(C)S(=O)(=O)c1cccc(F)c1C,True,274.317,0.5006200000000001,66.48,1,3,4,1,1,18,0.3636363636363636,0.8691945888827044,False,False,False,False,0,True,-2.1877934666666645,0.0064894297187064,0,True,True,0.7436752529898804,0.9817157313707452,1.0,0.878254369825207,True,20,0.23333333333333334,20
COCc1ccc(CC(=O)N2CCC(C(N)=O)CC2)o1,True,COCc1ccc(CC(=O)N2CCC(C(N)=O)CC2)o1,True,280.324,0.6924,85.77,1,4,5,2,1,20,0.5714285714285714,0.8595821248009667,False,False,False,False,0,True,-2.1661179999999964,0.006821533244629,0,True,True,0.702506899724011,0.983785648574057,1.0,0.8604530818767249,True,21,0.2857142857142857,21
CCC(=O)N1CCC(NC(=O)NCc2ncco2)CC1,True,CCC(=O)N1CCC(NC(=O)NCc2ncco2)CC1,True,280.3280000000001,0.8747999999999997,87.47000000000001,2,4,4,2,1,20,0.6153846153846154,0.856538161642033,False,False,False,False,0,True,-2.1360056333333293,0.0073112959977218,0,True,True,0.687557497700092,0.9862005519779209,1.0,0.8545710671573137,True,22,0.3225806451612903,22
CC(C)NC(=O)c1ccc(-n2cccn2)cc1Br,True,CC(C)NC(=O)c1ccc(-n2cccn2)cc1Br,True,308.179,2.773000000000001,46.92,1,2,3,2,2,18,0.2307692307692307,0.9475455263994916,False,False,False,False,0,True,-3.793013999999998,0.0001610593714934,0,True,True,0.9989650413983441,0.577046918123275,1.0,0.8515006899724011,True,23,0.40384615384615385,23
CC1CCCC(C)N1S(=O)(=O)N1CCCC(C(N)=O)C1,True,CC1CCCC(C)N1S(=O)(=O)N1CCCC(C(N)=O)C1,True,303.42800000000005,0.691400000000001,83.71000000000001,1,3,3,2,0,20,0.9230769230769232,0.8323649379497449,False,False,False,False,0,True,-1.9970229999999984,0.0100687834370929,0,True,True,0.5711821527138914,0.9948252069917203,1.0,0.8052207911683531,True,24,0.36363636363636365,24
COc1cc(C2(C(=O)N3CCc4ccccc43)CC2)ccc1O,True,COc1cc(C2(C(=O)N3CCc4ccccc43)CC2)ccc1O,True,309.365,3.0217000000000023,49.77,1,3,3,4,2,23,0.3157894736842105,0.9479150987147356,False,False,False,False,0,True,-4.018473107142868,9.58356058839362e-05,0,True,True,0.999770009199632,0.43790248390064396,1.0,0.8031623735050597,True,25,0.19718309859154928,25
CCCC1CN(C(=O)c2nc3ccc(F)cc3[nH]2)CC(C)O1,True,CCCC1CN(C(=O)c2nc3ccc(F)cc3[nH]2)CC(C)O1,True,305.35300000000007,2.731600000000001,58.22,1,3,3,3,2,22,0.5,0.9483018776989284,False,False,False,False,0,True,-4.036712942857142,9.189397906397056e-05,0,True,True,1.0,0.42444802207911686,1.0,0.798556807727691,True,26,0.20253164556962025,26
CN(C)c1ccc(-n2cc(N)cn2)cc1,True,CN(C)c1ccc(-n2cc(N)cn2)cc1,True,202.261,1.5205,47.08,1,3,2,2,2,15,0.1818181818181818,0.802785140420963,False,False,False,False,0,True,-1.977002738095244,0.01054380248822,0,True,True,0.45814167433302666,0.9955151793928243,1.0,0.7545940662373505,True,27,0.1724137931034483,27
