desc_mol_weight,desc_logp,desc_tpsa,desc_hbd,desc_hba,desc_rotatable_bonds,desc_ring_count,desc_aromatic_ring_count,desc_heavy_atom_count,desc_fraction_csp3,qed,canonical_smiles,predicted_logS,source
348.4240000000001,2.5912200000000007,85.35999999999999,1,5,7,2,2,24,0.29411764705882354,0.7774682635111358,Cc1ccc(NC(=O)CCCOc2cccnc2)cc1S(C)(=O)=O,-4.40526625,MOSES training
264.369,2.30552,75.35,3,3,4,1,1,19,0.5333333333333333,0.7304020947186124,Cc1ccc(C(O)CCC(=O)NC(C)(C)C)cc1N,-3.0907410000000026,MOSES training
303.38700000000006,1.6206999999999996,54.46,1,5,4,3,2,21,0.3333333333333333,0.9323901750744805,O=C(COc1ccccc1-c1cscn1)N1CCNCC1,-3.450905999999995,MOSES training
298.38300000000004,2.776180000000001,61.17,0,3,5,1,1,20,0.5,0.8394517042285808,CC(C)(C)CN(CCC#N)S(=O)(=O)c1ccccc1F,-3.4882473999999997,MOSES training
336.42,3.5778200000000018,67.77000000000001,1,5,5,3,3,24,0.1111111111111111,0.7214050613465713,Cc1ccc(-c2ccc(SCC(=O)Nc3cccnc3)nn2)cc1,-4.3694360000000065,MOSES training
314.4290000000002,2.6579000000000006,49.410000000000004,1,2,6,3,1,23,0.5789473684210527,0.8773827054677925,O=C(CCCC(=O)N1CCc2ccccc2C1)NCC1CCC1,-4.168307999999991,MOSES training
347.4590000000002,2.7000400000000013,70.67,2,3,6,2,1,25,0.5789473684210527,0.7774445831853318,COCCCNC(=O)C1CCN(C(=O)Nc2cccc(C)c2C)CC1,-4.127639583333334,MOSES training
326.3810000000001,1.498,76.36,1,5,5,3,3,23,0.125,0.7191363369478773,O=C(CSc1nc(=O)n2ccccc2n1)NCc1ccccc1,-3.486498999999995,MOSES training
324.336,2.876780000000002,88.41999999999999,1,5,5,2,2,24,0.16666666666666666,0.6746244316288659,COC(=O)NCCC(=O)Oc1ccc(-c2ccc(C#N)cc2)cc1,-4.199677999999999,MOSES training
291.35100000000006,0.9853999999999996,70.67,2,3,4,2,1,21,0.4666666666666667,0.8686862601990436,CNC(=O)NCC(=O)N1CCC(Oc2ccccc2)CC1,-2.5860739999999987,MOSES training
342.384,1.0895999999999995,109.9,2,5,3,4,3,24,0.2,0.7421009209767107,NC(=O)c1cnc2n1CCN(C(=O)c1ccc(-c3ncc[nH]3)s1)C2,-3.0527233333333323,MOSES training
318.37700000000007,3.099800000000002,93.19,2,5,5,3,2,23,0.5625,0.826265341412558,O=C(NCc1ccco1)NCc1nc(C2CCCCCC2)no1,-4.079512250000004,MOSES training
268.319,2.2057,65.22,0,7,3,3,2,17,0.3,0.7950866518480432,O=C1CC(Sc2nnc(-c3cccs3)o2)CO1,-3.1867519999999954,MOSES training
335.831,3.162200000000002,38.77,0,3,5,3,1,23,0.5,0.6125959071239107,C=CCOCC1CCC2C1OCCN2C(=O)c1ccc(Cl)cc1,-4.149281071428569,MOSES training
296.24799999999993,3.116900000000001,51.22,1,3,5,2,2,21,0.14285714285714285,0.9219880938086272,O=C(Nc1ccc(F)cc1)c1cccnc1OCC(F)F,-4.211392666666677,MOSES training
291.332,1.896,81.17999999999999,1,6,5,2,2,20,0.23076923076923078,0.8508105131588639,CCOC(=O)Cc1ccccc1NC(=O)c1csnn1,-3.409070999999999,MOSES training
317.4330000000001,2.951500000000001,61.440000000000005,2,3,5,2,1,23,0.5555555555555556,0.8775047134635093,CC1CCN(C(=O)CNc2ccc(NC(=O)C(C)C)cc2)CC1,-4.173668383333335,MOSES training
329.35600000000005,1.8290199999999999,77.69000000000001,0,6,3,4,2,24,0.47058823529411764,0.8547793418920608,Cc1oncc1C(=O)N1CCOC2C(Oc3ccccn3)CCC21,-3.7866560000000007,MOSES training
305.33400000000006,1.3969999999999998,110.60000000000001,3,6,6,2,2,22,0.3333333333333333,0.4224593696265844,CCCOC(=O)c1cc(-c2ccc(O)c(N)c2)nn1CCO,-3.152628,MOSES training
348.4240000000001,2.4405200000000002,84.5,2,4,6,2,2,24,0.23529411764705882,0.8396503744045568,COc1ccc(S(=O)(=O)NCc2ccc(C)cc2)cc1NC(C)=O,-4.218757999999993,MOSES training
328.37500000000006,3.6971000000000025,51.02,0,3,3,4,4,25,0.05,0.5760902015409465,CN(C(=O)c1ccc(-n2ccnc2)nc1)c1ccc2ccccc2c1,-4.39828633333335,MOSES training
288.3290000000001,-1.2385999999999995,113.18,3,5,5,2,1,19,0.6,0.5866197585546828,CS(=O)(=O)NCCNC(=O)c1[nH]nc2c1COCC2,-1.9608619999999959,MOSES training
315.3920000000001,3.6120000000000028,38.13,0,2,7,2,2,23,0.3333333333333333,0.5780719935629365,C=CCCCN(C)C(=O)c1cnn(-c2ccc(F)cc2)c1CC,-4.464490999999996,MOSES training
254.333,3.0144400000000005,55.12,2,2,4,2,2,19,0.1875,0.8808093598231991,Cc1cccc(C)c1NCc1cccc(C(N)=O)c1,-3.822829000000001,MOSES training
337.3790000000001,1.8260999999999998,73.22,1,4,6,3,3,25,0.21052631578947367,0.6965850955355569,COCCNC(=O)Cn1c(=O)nc(-c2ccccc2)c2ccccc21,-4.339387999999987,MOSES training
315.37300000000005,1.5339999999999991,58.81,0,5,5,3,2,23,0.4117647058823529,0.8373924095276153,CN1CCOC(C(=O)N(Cc2cccnc2)Cc2ccco2)C1,-3.408200999999998,MOSES training
328.43700000000007,3.451520000000002,42.43000000000001,0,4,1,4,2,23,0.4444444444444444,0.8050498430856943,Cc1nc(C(=O)N2CCC3(CCc4ccccc4O3)CC2)cs1,-4.35474355555556,MOSES training
