feature,importance_mean,importance_std,rf_impurity_importance
desc_logp,1.9598276845292082,0.20544061142270562,0.4079283551241184
desc_mol_weight,0.5114444956783568,0.0809861607583523,0.1695952111672167
desc_heavy_atom_count,0.32884067800132294,0.0643042499183882,0.12887122716478186
desc_tpsa,0.12059514885457884,0.03630061972031048,0.07008224734869219
desc_hba,0.09099316658033949,0.03260536322029706,0.06708002841771536
desc_ring_count,0.06211387974933633,0.02874398425748426,0.05178876332472394
desc_fraction_csp3,0.04212245502535983,0.017205641239752423,0.02305028622294111
desc_aromatic_ring_count,0.03271318585392477,0.009497728744038375,0.03575937677515874
desc_rotatable_bonds,0.016056798004586502,0.010341221394625554,0.02725250207196114
desc_hbd,0.01262057618289255,0.012730766903090837,0.01859200238269051
